Q1A,Q1I,Q1E,Q2A,Q2I,Q2E,Q3A,Q3I,Q3E,Q4A,Q4I,Q4E,Q5A,Q5I,Q5E,Q6A,Q6I,Q6E,Q7A,Q7I,Q7E,Q8A,Q8I,Q8E,Q9A,Q9I,Q9E,Q10A,Q10I,Q10E,Q11A,Q11I,Q11E,Q12A,Q12I,Q12E,Q13A,Q13I,Q13E,Q14A,Q14I,Q14E,Q15A,Q15I,Q15E,Q16A,Q16I,Q16E,Q17A,Q17I,Q17E,Q18A,Q18I,Q18E,Q19A,Q19I,Q19E,Q20A,Q20I,Q20E,Q21A,Q21I,Q21E,Q22A,Q22I,Q22E,Q23A,Q23I,Q23E,Q24A,Q24I,Q24E,Q25A,Q25I,Q25E,Q26A,Q26I,Q26E,Q27A,Q27I,Q27E,Q28A,Q28I,Q28E,Q29A,Q29I,Q29E,Q30A,Q30I,Q30E,Q31A,Q31I,Q31E,Q32A,Q32I,Q32E,Q33A,Q33I,Q33E,Q34A,Q34I,Q34E,Q35A,Q35I,Q35E,Q36A,Q36I,Q36E,Q37A,Q37I,Q37E,Q38A,Q38I,Q38E,Q39A,Q39I,Q39E,Q40A,Q40I,Q40E,Q41A,Q41I,Q41E,Q42A,Q42I,Q42E,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize,major,variance,depression_score,anxiety_score,stress_score,depression_outcome,anxiety_outcome,stress_outcome,depression_target,anxiety_target,stress_target
2,7,5784,0,33,4373,3,41,3242,0,13,6470,3,11,3927,2,9,3704,0,17,4550,2,5,3021,1,32,5864,3,21,3722,1,10,3424,0,36,3236,3,23,2489,0,34,7290,3,12,6587,3,22,3627,3,38,2905,1,18,2998,1,8,10233,0,16,4258,3,28,2888,2,4,59592,1,3,11732,3,2,8834,1,29,7358,0,30,4928,1,15,3036,0,19,4127,1,37,3934,1,26,10782,3,1,8273,2,39,3501,0,27,3824,3,25,2141,2,6,17461,3,24,1557,3,40,4446,3,42,1883,1,35,5790,1,14,4432,0,20,2203,3,31,5768,PL,2,5,271,122,2,5,2,2,5,6,5,5,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,3,2,2,17,2,1,1,4,3,60,1,1,3,,1.4610917537746806,39,12,17,4,2,1,1,0,0
1,36,3215,1,13,7731,2,5,4156,3,10,2802,3,2,5628,1,9,6522,3,34,2374,3,11,3054,3,7,2975,2,14,3524,1,33,3033,3,23,2132,3,17,1314,3,16,3181,3,26,2249,2,19,2623,3,35,3093,3,38,7098,3,37,1938,3,15,3502,2,32,4776,2,18,4463,3,4,2436,1,40,4047,3,31,3787,3,42,2102,1,1,12351,3,3,2410,1,22,5056,3,39,3343,2,27,3012,3,20,3520,3,8,1868,3,25,2536,2,24,3725,3,30,2130,2,29,3952,2,21,10694,2,41,3231,3,12,3604,3,28,1950,2,6,6265,MY,2,1766,164,157,2,5,3,6,5,5,5,6,3,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,2,19,2,2,3,10,1,10,2,1,4,Psychology,0.5882694541231124,32,40,29,4,4,3,1,1,1
0,18,6116,0,28,3193,1,2,12542,0,8,6150,2,40,6428,0,4,17001,0,33,2944,2,7,8626,2,14,9639,1,20,6175,0,34,6008,1,21,9267,0,41,5290,2,1,25694,1,9,7634,3,37,8513,1,25,9078,0,15,4381,0,23,6647,1,36,6250,0,39,3842,0,16,7876,0,27,3124,1,12,6836,0,31,12063,0,3,9264,0,35,3957,0,42,2537,2,17,10880,1,5,8462,1,32,5615,0,30,11412,3,6,5112,0,29,3070,2,10,13377,1,38,4506,1,24,17227,1,13,7844,0,26,20253,0,22,8528,0,11,4370,1,19,10310,US,2,4,349,213,2,1,6,1,7,7,7,2,6,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,20,2,1,1,4,1,70,2,1,4,,0.7833914053426249,13,6,12,1,0,0,0,0,0
0,20,4325,0,34,4009,1,38,3604,2,40,4826,3,22,2842,0,42,2342,2,6,9018,2,31,3717,2,39,7023,3,35,3312,0,28,3930,1,41,4558,1,5,2883,1,19,8984,2,13,41618,3,10,17311,1,37,4514,1,2,43266690,0,3,22234,2,7,5111,3,15,2831,0,30,103530,2,14,3398,2,29,4551,1,17,7096,1,27,2908,0,8,3189,1,36,2409,1,1,1672595,2,4,9032,3,32,5133,1,16,5469,3,23,2690,2,9,7122,1,18,8044,1,21,2242,3,11,3951,3,24,2272,3,33,3398,1,12,5101,1,25,93656,2,26,84607,MX,2,1143,45459,170,2,5,6,5,3,2,6,3,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,2,17,2,1,1,7,2,60,2,1,4,Mechatronics engeenerieng,1.0360046457607437,31,19,14,4,3,0,1,1,0
2,37,4024,2,35,2116,1,18,3408,1,10,2283,3,23,2253,2,20,2015,0,30,1821,2,5,1593,3,6,5626,2,24,1776,2,21,1717,2,28,2245,2,17,1740,2,29,2235,0,14,2149,0,11,4636,2,4,2270,1,7,4390,3,8,4437,2,13,2169,1,33,2833,3,22,1919,0,15,1561,1,41,2285,2,9,2997,2,2,4831,1,42,2089,1,16,1998,2,38,1582,2,36,2360,1,39,2781,1,12,2769,3,40,3312,2,31,1412,1,26,5201,2,3,2347,0,32,2439,1,19,1876,3,1,3695,2,34,2816,0,25,1987,1,27,1833,US,2,515,511,121,6,5,6,6,6,2,5,3,3,3,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,1,2,1,18,1,1,1,6,1,60,2,1,2,,0.8362369337979094,19,20,27,2,4,3,0,1,1
0,28,2890,3,20,3910,0,26,3132,1,35,5132,2,12,4903,0,16,5970,0,40,2632,2,15,4409,1,5,8096,0,14,3818,1,2,6870,0,29,2546,3,10,2870,0,19,5799,0,41,2589,2,1,8077,3,8,4151,2,17,4146,0,23,4396,0,6,5279,0,38,2999,2,4,4281,1,36,2669,2,18,3835,0,39,5369,0,42,1657,1,11,3428,2,13,3819,2,34,4136,2,9,6804,1,31,3908,1,33,4329,1,32,3178,0,27,1855,0,30,2424,3,21,3662,0,25,2538,0,24,3022,1,3,5017,3,22,4423,1,7,6270,2,37,3402,EE,2,84,175,162,5,2,5,5,2,6,7,6,6,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,1,2,31,2,1,1,12,1,60,2,1,5,Art,1.1411149825783977,15,17,13,2,3,0,0,1,0
2,15,2789,0,3,4500,1,25,3900,1,16,3568,0,35,1682,2,37,1633,0,12,2105,2,4,2940,3,5,4487,0,32,3186,2,33,6107,2,22,3356,2,24,1475,0,19,5121,0,13,1515,0,18,2719,2,7,3682,2,36,2804,0,17,3117,2,39,2302,0,34,2267,2,2,6795,0,23,2250,1,1,8706,0,41,2833,3,27,3356,3,28,1933,2,14,2235,3,26,4170,2,29,3655,0,9,2683,2,20,3396,3,6,2300,0,40,2804,2,31,5071,2,10,2293,0,11,3448,0,21,2832,2,38,1967,3,30,4462,0,8,2457,2,42,7799,US,2,1,148,108,1,7,5,7,1,6,5,4,1,3,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,2,2,19,2,1,1,7,1,60,2,1,2,criminal justice; sociology,1.2921022067363535,11,15,29,1,3,3,0,1,1
2,5,6729,1,4,4793,1,20,3328,0,16,2199,2,22,2513,0,21,2220,0,13,2489,1,32,2570,0,8,5790,1,18,4348,0,1,5951,0,26,1973,0,11,2679,3,33,3425,0,23,1931,2,28,4472,0,24,1450,1,40,2006,0,25,3613,0,19,1166,0,15,3214,0,10,4843,0,27,1216,2,41,4086,1,37,5170,0,35,1703,1,9,2482,0,29,1741,0,14,2681,0,12,2779,2,38,2302,1,30,3895,0,36,1313,0,34,1426,3,31,3803,0,3,2430,0,39,2035,1,7,2754,2,6,2830,0,42,2357,0,17,3662,3,2,3372,US,2,73,128,89,2,7,7,1,6,5,4,7,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,19,2,1,3,2,1,60,2,1,1,Computer Science,0.940766550522648,14,2,14,2,0,0,0,0,0
1,8,4144,1,27,4442,1,37,7254,0,20,1930,3,15,4376,2,5,4109,0,39,2479,0,36,2246,2,1,25617,1,38,2314,1,33,3644,0,19,5109,2,29,3944,0,35,7105,0,2,7719,1,9,8355,1,21,2629,3,22,3528,1,24,6805,3,11,4625,2,3,6573,0,17,4477,0,13,6390,2,41,5692,0,14,20814,2,18,4208,2,12,4658,0,31,3002,0,26,7007,1,25,8884,1,42,7253,0,4,18536,0,16,13061,1,7,4175,3,23,7653,0,40,3426,2,6,8053,1,10,4856,2,34,3577,0,32,4859,0,28,2462,3,30,3320,US,2,3,280,234,2,2,5,4,6,7,4,6,3,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,2,1,1,4,2,50,2,1,2,Business,1.0923344947735194,23,8,14,3,1,0,1,0,0
2,14,6074,1,6,5943,1,31,4097,1,12,4319,0,42,3046,3,36,4107,0,5,4693,1,41,4269,2,15,5875,1,26,3340,2,33,3269,1,2,14821,2,28,2613,3,7,18354,0,24,4803,1,11,4985,1,34,3443,1,3,8255,0,30,4327,2,22,4500,1,13,9082,1,17,3462,0,4,3774,1,23,4158,0,18,5086,2,37,4067,1,40,3260,2,27,2805,3,8,4025,1,16,5398,2,29,6400,1,9,7548,1,32,3108,2,21,2401,2,35,8693,2,20,2038,1,38,4521,0,19,3200,2,1,10498,2,10,6852,0,25,2200,3,39,5207,EC,2,1702,223,230,1,5,5,6,3,6,5,3,3,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,2,19,2,1,1,4,1,70,2,1,3,psychology,0.8042973286875729,18,13,24,2,2,2,0,0,0
